City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,sinabang,2.4803,96.3801,29.58,68,98,1.3,ID,1682223442
121,woudrichem,51.815,5.0014,9.41,73,99,1.34,NL,1682223598
122,fale old settlement,-9.3852,-171.2468,28.7,76,100,4.16,TK,1682223429
123,tolanaro,-25.0319,46.9987,23.04,94,20,0.0,MG,1682223598
124,pesqueira,-8.3578,-36.6964,19.07,93,100,3.82,BR,1682223599
125,great falls,47.5002,-111.3008,2.87,73,0,3.6,US,1682223325
126,holualoa,19.6228,-155.9522,24.91,87,100,4.63,US,1682223599
127,nemuro,43.3236,145.575,3.76,83,95,0.54,JP,1682223599
128,villa ocampo,-28.4875,-59.3551,17.19,66,100,2.26,AR,1682223599
129,haiku-pauwela,20.9219,-156.3051,26.2,66,20,4.63,US,1682223422
130,bathsheba,13.2167,-59.5167,26.34,83,20,5.14,BB,1682223599
131,tommot,58.9564,126.2925,0.92,62,98,2.99,RU,1682223417
132,ugoofaaru,5.6667,73.0,29.25,74,83,3.76,MV,1682223600
133,klyuchi,52.2667,79.1667,9.05,40,100,6.49,RU,1682223600
134,qaqortoq,60.7167,-46.0333,-0.14,92,97,0.25,GL,1682223441
135,amarwara,22.3,79.1667,29.24,25,25,5.07,IN,1682223600
136,nelson bay,-32.7167,152.15,23.39,68,6,4.47,AU,1682223600
137,anadyr,64.75,177.4833,-1.72,68,0,8.0,RU,1682223425
138,cidreira,-30.1811,-50.2056,19.57,86,51,4.51,BR,1682223601
139,codrington,-38.2667,141.9667,19.55,55,0,3.81,AU,1682223601
140,ciudad lazaro cardenas,17.9583,-102.2,24.95,80,100,1.54,MX,1682223601
141,cape coast,5.1053,-1.2466,26.93,86,99,4.97,GH,1682223396
142,namibe,-15.1961,12.1522,24.92,71,51,3.14,AO,1682223440
143,onega,63.9061,38.1404,-2.14,78,62,2.08,RU,1682223602
144,conceicao do araguaia,-8.2578,-49.2647,22.64,91,100,1.04,BR,1682223602
145,tonder,54.9331,8.8667,8.97,88,100,4.15,DK,1682223603
146,port alfred,-33.5906,26.891,18.4,44,100,1.77,ZA,1682223603
147,mantsala,60.6609,25.2838,5.94,85,71,1.12,FI,1682223603
148,saint-francois,46.4154,3.9054,4.26,100,100,1.03,FR,1682223603
149,tazovsky,67.4667,78.7,0.41,99,100,5.57,RU,1682223603
150,hawaiian paradise park,19.5933,-154.9731,23.91,87,75,2.57,US,1682223414
151,keflavik,64.0049,-22.5624,4.24,93,100,1.03,IS,1682223436
152,timmins,48.4669,-81.3331,0.9,93,100,4.12,CA,1682223604
153,luganville,-15.5333,167.1667,28.97,73,91,4.4,VU,1682223604
154,madang,-5.2246,145.7966,30.21,65,33,3.28,PG,1682223604
155,shenzhen,22.5455,114.0683,28.92,99,85,4.21,CN,1682223604
156,vorgashor,67.5833,63.95,-1.02,88,100,6.05,RU,1682223420
157,corinth,37.9407,22.9573,12.1,86,7,1.07,GR,1682223605
158,isafjordur,66.0755,-23.124,0.27,69,12,1.7,IS,1682223605
159,suwayr,30.1171,40.3893,21.52,39,27,2.16,SA,1682223605
160,susuman,62.7833,148.1667,-2.5,66,95,5.56,RU,1682223605
161,amahai,-3.3333,128.9167,29.84,67,81,2.48,ID,1682223606
162,margate,51.3813,1.3862,11.06,88,100,2.24,GB,1682223606
163,ust'-ilimsk,58.0006,102.6619,0.89,58,12,1.61,RU,1682223606
164,nova sintra,14.8667,-24.7167,19.95,74,4,7.18,CV,1682223428
165,invercargill,-46.4,168.35,11.68,82,94,0.89,NZ,1682223221
166,longyearbyen,78.2186,15.6401,-12.09,67,0,2.57,SJ,1682223401
167,saint-pierre,-21.3393,55.4781,26.43,61,0,3.09,RE,1682223505
168,los aquijes,-14.0967,-75.6908,23.55,65,36,0.94,PE,1682223607
169,cooma,-36.2333,149.1333,18.68,52,5,2.45,AU,1682223607
170,port mathurin,-19.6833,63.4167,26.22,76,9,8.15,MU,1682223409
171,oral,51.2333,51.3667,9.99,93,40,3.0,KZ,1682223607
172,ashkelon,31.6693,34.5715,16.01,74,100,2.69,IL,1682223608
173,grants,35.1473,-107.8514,5.13,36,0,4.12,US,1682223608
174,nar'yan-mar,67.6713,53.087,-6.49,73,50,6.73,RU,1682223608
175,new plymouth,-39.0667,174.0833,18.64,100,2,7.05,NZ,1682223608
176,keelung,25.1283,121.7419,29.47,74,89,3.09,TW,1682223420
177,menongue,-14.6585,17.691,15.13,90,64,0.73,AO,1682223608
178,franceville,-1.6333,13.5836,20.98,98,97,1.45,GA,1682223609
